Date,Description,Impact Area,Source Type,Severity,,,,,,,,,
19-11-2024,Global prices rise due to supply cuts,Weather / Domestic,Business News,Low,,,,,,,,,
28-11-2024,Futures prices surge,Ingredient,Agriculture News,Low,,,,,,,,,
28-11-2024,Cyclone disrupts logistics,Ingredient (Future),News Report,Low,,,,,,,,,
08-12-2024,Heavy rains disrupt harvest,Ingredient (Future),Business News,Low,,,,,,,,,
09-12-2024,Currency fluctuations impact imports,Ingredient,Agriculture News,High,,,,,,,,,
18-12-2024,Government announces subsidy,Weather / Domestic/Intl,Agriculture News,High,,,,,,,,,
20-12-2024,Winter frost damages crops,Weather / Domestic/Intl,Govt. Notification,High,,,,,,,,,
13-01-2025,Heavy rains disrupt harvest,Weather / Domestic,News Report,High,,,,,,,,,
21-01-2025,Futures prices surge,Regulatory / Sentiment,Agriculture News,High,,,,,,,,,
22-01-2025,Global prices rise due to supply cuts,Ingredient,Agriculture News,Low,,,,,,,,,
26-01-2025,Export duty imposed to curb prices,Ingredient,News Report,Low,,,,,,,,,
28-01-2025,Port closures due to cyclone,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
18-02-2025,Global prices rise due to supply cuts,Ingredient,Business News,Low,,,,,,,,,
24-02-2025,Heatwave impacts flowering,Weather / Domestic,Govt. Notification,Low,,,,,,,,,
26-02-2025,Heavy rains disrupt harvest,Weather / Domestic/Intl,Agriculture News,Medium,,,,,,,,,
01-03-2025,Currency fluctuations impact imports,Regulatory / Sentiment,Agriculture News,Medium,,,,,,,,,
06-03-2025,Cyclone disrupts logistics,Weather / Domestic/Intl,News Report,Low,,,,,,,,,
08-03-2025,Global shortages push costs higher,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
09-03-2025,Government announces subsidy,Weather / Domestic,Govt. Notification,Low,,,,,,,,,
02-04-2025,Heavy rains disrupt harvest,Ingredient (Future),Business News,Medium,,,,,,,,,
03-04-2025,Government restricts exports,Weather / Domestic/Intl,News Report,Medium,,,,,,,,,
22-04-2025,Futures prices surge,Weather / Domestic/Intl,Govt. Notification,High,,,,,,,,,
03-05-2024,Unseasonal rains disrupt harvests in Rajasthan,Weather / Domestic,News Report,Medium,,,,,,,,,
08-05-2024,Export duty on sugar raised to control domestic prices,Regulatory / Sentiment,Govt. Notification,High,,,,,,,,,
14-05-2024,Cyclone warnings lead to closure of ports on East Coast,Weather / Domestic/Intl,News Report,High,,,,,,,,,
22-05-2024,Surge in global wheat prices amid supply shortage,Ingredient,Business News,High,,,,,,,,,
02-06-2024,Government announces MSP hike for paddy,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
09-06-2024,Pest infestation reported in soybean crops in Madhya Pradesh,Ingredient,Agriculture News,Medium,,,,,,,,,
17-06-2024,Heavy rains disrupt logistics in Maharashtra,Weather / Domestic,News Report,Medium,,,,,,,,,
24-06-2024,Edible oil imports delayed due to shipping disruptions,Ingredient,Business News,Medium,,,,,,,,,
02-07-2024,Deficient monsoon impacts rice production in Odisha,Weather / Domestic,News Report,High,,,,,,,,,
10-07-2024,Government restricts onion exports to manage rising prices,Regulatory / Sentiment,Govt. Notification,Medium,,,,,,,,,
15-07-2024,Cyclone impacts road transport in coastal Andhra Pradesh,Weather / Domestic,News Report,High,,,,,,,,,
23-07-2024,"International corn prices surge, affecting Indian feed industry",Ingredient (Future),Business News,Medium,,,,,,,,,
29-07-2024,Flash floods disrupt vegetable supply chains in Himachal Pradesh,Weather / Domestic,News Report,High,,,,,,,,,
06-08-2024,MSP raised for pulses to encourage cultivation,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
12-08-2024,Reports suggest damage to groundnut crop due to excess rainfall,Ingredient,Agriculture News,Medium,,,,,,,,,
19-08-2024,Rupee depreciation raises cost of imported edible oils,Ingredient (Future),Business News,Medium,,,,,,,,,
27-08-2024,Port congestion delays shipment of spices from Kerala,Weather / Domestic/Intl,News Report,Medium,,,,,,,,,
04-09-2024,Severe drought conditions reported in Telangana affecting cotton crops,Weather / Domestic,News Report,High,,,,,,,,,
11-09-2024,Export restrictions imposed on rice due to lower production forecast,Regulatory / Sentiment,Govt. Notification,High,,,,,,,,,
18-09-2024,Pest outbreaks hit maize fields in Bihar,Ingredient,Agriculture News,Medium,,,,,,,,,
25-09-2024,Spike in global cocoa prices increases import bills,Ingredient (Future),Business News,Medium,,,,,,,,,
03-10-2024,Cyclone warning disrupts supply chain movement in Bengal,Weather / Domestic,News Report,High,,,,,,,,,
10-10-2024,New government policy aims to promote oilseed cultivation,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
16-10-2024,Unseasonal rains damage vegetable crops in Uttar Pradesh,Weather / Domestic,News Report,Medium,,,,,,,,,
22-10-2024,Increase in global sugar prices due to drought in Brazil,Ingredient (Future),Business News,High,,,,,,,,,
29-10-2024,Wheat production hit by erratic weather in Punjab,Weather / Domestic,News Report,High,,,,,,,,,
06-11-2024,Government bans export of pulses to ensure domestic availability,Regulatory / Sentiment,Govt. Notification,Medium,,,,,,,,,
12-11-2024,Reports of pest attacks on soybean in Gujarat,Ingredient,Agriculture News,Medium,,,,,,,,,
18-11-2024,"Global palm oil futures rise, impacting domestic cooking oil prices",Ingredient,Business News,Medium,,,,,,,,,
26-11-2024,Flooding disrupts road transport in Assam,Weather / Domestic,News Report,High,,,,,,,,,
04-12-2024,Government increases MSP for wheat ahead of sowing season,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
11-12-2024,Severe cold wave damages vegetable production in north India,Weather / Domestic,News Report,Medium,,,,,,,,,
17-12-2024,Edible oil imports surge amid festive season demand,Ingredient,Business News,Medium,,,,,,,,,
23-12-2024,Reports indicate decline in mustard production,Ingredient,Agriculture News,Medium,,,,,,,,,
13-01-2025,Heavy rains disrupt harvest,Weather / Domestic,News Report,High,,,,,,,,,
21-01-2025,Futures prices surge,Regulatory / Sentiment,Agriculture News,High,,,,,,,,,
22-01-2025,Global prices rise due to supply cuts,Ingredient,Agriculture News,Low,,,,,,,,,
26-01-2025,Export duty imposed to curb prices,Ingredient,News Report,Low,,,,,,,,,
28-01-2025,Port closures due to cyclone,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
18-02-2025,Global prices rise due to supply cuts,Ingredient,Business News,Low,,,,,,,,,
24-02-2025,Heatwave impacts flowering,Weather / Domestic,Govt. Notification,Low,,,,,,,,,
26-02-2025,Heavy rains disrupt harvest,Weather / Domestic/Intl,Agriculture News,Medium,,,,,,,,,
01-03-2025,Currency fluctuations impact imports,Regulatory / Sentiment,Agriculture News,Medium,,,,,,,,,
06-03-2025,Cyclone disrupts logistics,Weather / Domestic/Intl,News Report,Low,,,,,,,,,
08-03-2025,Global shortages push costs higher,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
09-03-2025,Government announces subsidy,Weather / Domestic,Govt. Notification,Low,,,,,,,,,
02-04-2025,Heavy rains disrupt harvest,Ingredient (Future),Business News,Medium,,,,,,,,,
03-04-2025,Government restricts exports,Weather / Domestic/Intl,News Report,Medium,,,,,,,,,
22-04-2025,Futures prices surge,Weather / Domestic/Intl,Govt. Notification,High,,,,,,,,,
02-01-2025,Cyclone disrupts cargo movement at eastern ports,Weather / Domestic/Intl,News Report,High,,,,,,,,,
09-01-2025,Export policy changes impact Indian spice trade,Regulatory / Sentiment,Govt. Notification,Medium,,,,,,,,,
16-01-2025,Heavy rains delay sugarcane crushing season in Maharashtra,Weather / Domestic,News Report,Medium,,,,,,,,,
22-01-2025,Pest infestation reported in Bengal's potato crop,Ingredient,Agriculture News,Medium,,,,,,,,,
29-01-2025,Rupee volatility raises cost pressures on edible oil imports,Ingredient (Future),Business News,Medium,,,,,,,,,
06-02-2025,Unseasonal showers damage vegetable crops in Gujarat,Weather / Domestic,News Report,Medium,,,,,,,,,
12-02-2025,Government limits wheat exports amid rising domestic prices,Regulatory / Sentiment,Govt. Notification,Medium,,,,,,,,,
19-02-2025,Reports of locust attacks in western Rajasthan impacting crops,Ingredient,Agriculture News,High,,,,,,,,,
26-02-2025,"Global soymeal prices jump, impacting animal feed costs",Ingredient (Future),Business News,Medium,,,,,,,,,
05-03-2025,Cyclone warnings cause disruptions at ports in Tamil Nadu,Weather / Domestic/Intl,News Report,High,,,,,,,,,
11-03-2025,New MSP announced for pulses to boost production,Regulatory / Sentiment,Govt. Notification,Low,,,,,,,,,
18-03-2025,Erratic weather affects mango flowering in western India,Weather / Domestic,News Report,Medium,,,,,,,,,
25-03-2025,Edible oil prices rise due to supply chain issues,Ingredient,Business News,Medium,,,,,,,,,
01-04-2025,Pest outbreaks hit groundnut fields in Gujarat,Ingredient,Agriculture News,Medium,,,,,,,,,
08-04-2025,Severe heatwave hits vegetable production in Andhra Pradesh,Weather / Domestic,News Report,High,,,,,,,,,
15-04-2025,Government sets new limits on rice exports,Regulatory / Sentiment,Govt. Notification,Medium,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
