,,,,,,,,,
,,,,,,,,,
Date,Company,Activity Type,Description,Location,Sentiment,Category,App Ranking,Cities Expanded,Additional Notes
18/5/2025,Blinkit,App Store Ranking,Blinkit drops to #5 in snack category rankings,India-wide,Neutral,Snack,#5,N/A,Temporary drop in rankings
19/5/2025,Zepto,Service Expansion,Zepto partners with local snack producers in Chennai,Chennai,Positive,Snack,N/A,Chennai,Boosting local sourcing
20/5/2025,Instamart,App Store Ranking,Instamart maintains #2 rank in grocery deliveries,India-wide,Positive,Grocery,#2,N/A,Strong retention in grocery category
21/5/2025,Blinkit,News Mention,Blinkit launches a snack subscription service,India-wide,Positive,Snack,N/A,N/A,Innovative snack subscription model
22/5/2025,Zepto,Service Expansion,Zepto introduces fresh snacks in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Focus on freshness and quality
23/5/2025,Instamart,News Mention,Instamart partners with health brands for snack offerings,India-wide,Positive,Snack,N/A,N/A,Focusing on health-conscious options
24/5/2025,Blinkit,Service Expansion,Blinkit adds snack bundles to its delivery lineup,Multiple Cities,Positive,Snack,N/A,Multiple Cities,New snack product bundles
25/5/2025,Zepto,App Store Ranking,Zepto moves up to #1 in snack delivery in Delhi,Delhi,Positive,Snack,#1,N/A,Strong performance in snack delivery
26/5/2025,Instamart,Service Expansion,Instamart introduces express delivery for snacks in Mumbai,Mumbai,Positive,Snack,N/A,Mumbai,Focus on fast snack delivery
27/5/2025,Blinkit,News Mention,Blinkit adds organic snacks to its offerings in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Targeting health-conscious customers
28/5/2025,Zepto,Service Expansion,Zepto adds low-calorie snacks in Kolkata,Kolkata,Positive,Snack,N/A,Kolkata,Targeting health-conscious market
29/5/2025,Instamart,News Mention,Instamart launches new snack categories in Chennai,Chennai,Positive,Snack,N/A,Chennai,Expanding snack offerings
30/5/2025,Blinkit,App Store Ranking,Blinkit reaches #2 in snack category in India,India-wide,Positive,Snack,#2,N/A,Strong presence in snack deliveries
1/6/2025,Zepto,Service Expansion,Zepto launches premium snack selection in Hyderabad,Hyderabad,Positive,Snack,N/A,Hyderabad,Premium snack focus for urban areas
2/6/2025,Instamart,Service Expansion,Instamart launches snack deliveries to Coimbatore,Coimbatore,Positive,Snack,N/A,Coimbatore,Expanding to South Indian cities
3/6/2025,Blinkit,News Mention,Blinkit partners with local bakeries for fresh snacks in Delhi,Delhi,Positive,Snack,N/A,Delhi,Partnerships for fresh snack sourcing
4/6/2025,Zepto,News Mention,Zepto introduces new gourmet snack range in Pune,Pune,Positive,Snack,N/A,Pune,Introducing premium snack options
5/6/2025,Instamart,App Store Ranking,Instamart ranks #1 in snack delivery in Mumbai,Mumbai,Positive,Snack,#1,N/A,Gaining market dominance in Mumbai
6/6/2025,Blinkit,Service Expansion,Blinkit adds local snack producers in Jaipur,Jaipur,Positive,Snack,N/A,Jaipur,Expanding local supply chain
7/6/2025,Zepto,News Mention,Zepto introduces healthy snack boxes for office goers,India-wide,Positive,Snack,N/A,N/A,Focusing on office snack delivery
8/6/2025,Instamart,News Mention,Instamart releases an app update to improve snack delivery,India-wide,Positive,Snack,N/A,N/A,Focus on improving user experience
9/6/2025,Blinkit,App Store Ranking,Blinkit ranks #3 in food delivery on Play Store,India-wide,Positive,Food,#3,N/A,Growing presence in the food category
10/6/2025,Zepto,Service Expansion,Zepto introduces snack bundles for families in Delhi,Delhi,Positive,Snack,N/A,Delhi,Family-focused snack bundles
11/6/2025,Instamart,Service Expansion,Instamart adds snack packs for kids in Pune,Pune,Positive,Snack,N/A,Pune,Targeting families with children
12/6/2025,Blinkit,News Mention,Blinkit adds energy-boosting snacks to its offerings in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Targeting active lifestyle market
13/6/2025,Zepto,App Store Ranking,Zepto ranks #1 in snack delivery in Pune,Pune,Positive,Snack,#1,N/A,Dominating snack delivery in Pune
14/6/2025,Instamart,News Mention,Instamart introduces gluten-free snacks in Hyderabad,Hyderabad,Positive,Snack,N/A,Hyderabad,Targeting dietary-conscious market
15/6/2025,Blinkit,Service Expansion,Blinkit expands snack delivery to tier-3 cities,Tier-3 Cities,Positive,Snack,N/A,Tier-3 Cities,Expanding to smaller cities
16/6/2025,Zepto,News Mention,Zepto adds local snack suppliers in Mumbai,Mumbai,Positive,Snack,N/A,Mumbai,Local suppliers joining the network
17/6/2025,Instamart,Service Expansion,Instamart introduces evening snack deliveries in Delhi,Delhi,Positive,Snack,N/A,Delhi,Targeting evening snack time
18/6/2025,Blinkit,App Store Ranking,Blinkit ranks #4 in food delivery in India,India-wide,Neutral,Food,#4,N/A,Slight drop in food rankings
19/6/2025,Zepto,News Mention,Zepto introduces snack packs for students in Kolkata,Kolkata,Positive,Snack,N/A,Kolkata,Targeting student population
20/6/2025,Instamart,News Mention,Instamart partners with popular snack brands in Delhi,Delhi,Positive,Snack,N/A,Delhi,Collaboration with snack brands
21/6/2025,Blinkit,Service Expansion,Blinkit launches snack delivery service in Chandigarh,Chandigarh,Positive,Snack,N/A,Chandigarh,Expanding to new northern markets
22/6/2025,Zepto,Service Expansion,Zepto adds vegan snacks in Pune,Pune,Positive,Snack,N/A,Pune,Focusing on vegan snacks
23/6/2025,Instamart,App Store Ranking,Instamart ranks #2 in snack delivery,India-wide,Positive,Snack,#2,N/A,Rising in snack-focused rankings
24/6/2025,Blinkit,News Mention,Blinkit announces a discount campaign on snacks,India-wide,Positive,Snack,N/A,N/A,Discount campaign driving sales
25/6/2025,Zepto,App Store Ranking,Zepto ranks #4 in snack delivery in India,India-wide,Neutral,Snack,#4,N/A,Slight decline in rankings
26/6/2025,Instamart,Service Expansion,Instamart expands snack delivery to Varanasi,Varanasi,Positive,Snack,N/A,Varanasi,Expanding to new cities
27/6/2025,Blinkit,News Mention,Blinkit partners with local farms for fresh snacks,India-wide,Positive,Snack,N/A,N/A,Fresh snack focus through partnerships
28/6/2025,Zepto,News Mention,Zepto introduces spicy snack options in Hyderabad,Hyderabad,Positive,Snack,N/A,Hyderabad,Expanding spicy snack offerings
29/6/2025,Instamart,News Mention,Instamart offers snack customization options for customers,India-wide,Positive,Snack,N/A,N/A,Personalized snack offerings
30/6/2025,Blinkit,Service Expansion,Blinkit launches snack delivery in Patna,Patna,Positive,Snack,N/A,Patna,Expanding to tier-2 cities
1/7/2025,Zepto,Service Expansion,Zepto launches low-sugar snacks in Chennai,Chennai,Positive,Snack,N/A,Chennai,Targeting health-conscious consumers
2/7/2025,Instamart,App Store Ranking,Instamart ranks #1 in snack delivery in Pune,Pune,Positive,Snack,#1,N/A,Pune gaining traction
3/7/2025,Blinkit,News Mention,Blinkit expands to 10 new cities with snack focus,Multiple Cities,Positive,Snack,N/A,Multiple Cities,Large expansion with snack offerings
4/7/2025,Zepto,Service Expansion,Zepto introduces premium snacks in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Expanding premium snack range
5/7/2025,Instamart,Service Expansion,Instamart adds new snack ranges to Hyderabad,Hyderabad,Positive,Snack,N/A,Hyderabad,Expanding snack selection
6/7/2025,Blinkit,App Store Ranking,Blinkit maintains #1 rank in snack deliveries,India-wide,Positive,Snack,#1,N/A,Dominating the snack delivery space
7/7/2025,Zepto,News Mention,Zepto adds plant-based snacks to its offerings,India-wide,Positive,Snack,N/A,N/A,Targeting plant-based snack market
8/7/2025,Instamart,Service Expansion,Instamart launches gourmet snacks in Delhi,Delhi,Positive,Snack,N/A,Delhi,Introducing gourmet snack options
9/7/2025,Blinkit,News Mention,Blinkit introduces family-sized snack packs,India-wide,Positive,Snack,N/A,N/A,Family-sized bundles gaining popularity
10/7/2025,Zepto,Service Expansion,Zepto adds local snacks from Chennai in Delhi,Delhi,Positive,Snack,N/A,Delhi,Local snack integration
11/7/2025,Instamart,App Store Ranking,Instamart maintains #2 rank in snack delivery,India-wide,Positive,Snack,#2,N/A,Consistent performance
12/7/2025,Blinkit,News Mention,Blinkit introduces seasonal snack bundles for festivals,India-wide,Positive,Snack,N/A,N/A,Festive offerings driving sales
13/7/2025,Zepto,Service Expansion,Zepto expands snack options to Chandigarh,Chandigarh,Positive,Snack,N/A,Chandigarh,Chandigarh expanding fast
14/7/2025,Instamart,Service Expansion,Instamart adds snack delivery in Nagpur,Nagpur,Positive,Snack,N/A,Nagpur,Expanding regional presence
15/7/2025,Blinkit,App Store Ranking,Blinkit drops to #5 in snack category,India-wide,Neutral,Snack,#5,N/A,Slight dip in snack rankings
16/7/2025,Zepto,News Mention,Zepto introduces seasonal snacks for summer in Kolkata,Kolkata,Positive,Snack,N/A,Kolkata,Seasonal snack launch for summer
17/7/2025,Instamart,Service Expansion,Instamart introduces office snack packs in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Office worker-focused snack offerings
18/7/2025,Blinkit,News Mention,Blinkit adds snacks for diet-conscious consumers,India-wide,Positive,Snack,N/A,N/A,Catering to the diet-conscious segment
19/7/2025,Zepto,App Store Ranking,Zepto ranks #3 in snack deliveries,India-wide,Positive,Snack,#3,N/A,Steady performance in snack delivery
20/7/2025,Instamart,News Mention,Instamart adds new regional snacks in multiple cities,Multiple Cities,Positive,Snack,N/A,Multiple Cities,Focusing on regional diversity
21/7/2025,Blinkit,Service Expansion,Blinkit launches midnight snack delivery in Delhi,Delhi,Positive,Snack,N/A,Delhi,Catering to midnight snackers
